case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
803.0,<0,critical/other existing credit,furniture/equipment,4272.0,<100,>=7,female div/sep/mar,24.0,skilled,good
804.0,no checking,critical/other existing credit,radio/tv,976.0,no known savings,>=7,male single,35.0,skilled,good
805.0,0<=X<200,existing paid,new car,7472.0,no known savings,unemployed,female div/sep/mar,24.0,unemp/unskilled non res,good
806.0,<0,existing paid,new car,9271.0,<100,4<=X<7,male single,24.0,skilled,bad
807.0,0<=X<200,existing paid,radio/tv,590.0,<100,<1,male mar/wid,26.0,unskilled resident,good
808.0,no checking,critical/other existing credit,radio/tv,930.0,no known savings,>=7,male single,65.0,skilled,good
809.0,0<=X<200,all paid,used car,9283.0,<100,unemployed,male single,55.0,high qualif/self emp/mgmt,good
810.0,0<=X<200,no credits/all paid,new car,1778.0,<100,<1,female div/sep/mar,26.0,unemp/unskilled non res,bad
811.0,0<=X<200,existing paid,business,907.0,<100,<1,male mar/wid,26.0,skilled,good
812.0,0<=X<200,existing paid,radio/tv,484.0,<100,4<=X<7,male mar/wid,28.0,unskilled resident,good
813.0,<0,critical/other existing credit,used car,9629.0,<100,4<=X<7,male single,24.0,skilled,bad
814.0,<0,existing paid,domestic appliance,3051.0,<100,1<=X<4,male single,54.0,skilled,bad
815.0,<0,existing paid,new car,3931.0,<100,4<=X<7,male single,46.0,skilled,bad
816.0,0<=X<200,delayed previously,new car,7432.0,<100,1<=X<4,female div/sep/mar,54.0,skilled,good
817.0,no checking,existing paid,domestic appliance,1338.0,500<=X<1000,1<=X<4,male div/sep,62.0,skilled,good
818.0,no checking,critical/other existing credit,radio/tv,1554.0,<100,4<=X<7,female div/sep/mar,24.0,skilled,good
819.0,<0,existing paid,other,15857.0,<100,unemployed,male div/sep,43.0,high qualif/self emp/mgmt,good
820.0,<0,existing paid,radio/tv,1345.0,<100,1<=X<4,male mar/wid,26.0,skilled,bad
821.0,no checking,existing paid,new car,1101.0,<100,1<=X<4,male mar/wid,27.0,skilled,good
822.0,>=200,existing paid,radio/tv,3016.0,<100,1<=X<4,male mar/wid,24.0,skilled,good
823.0,<0,existing paid,furniture/equipment,2712.0,<100,>=7,male single,41.0,skilled,bad
824.0,<0,critical/other existing credit,new car,731.0,<100,>=7,male single,47.0,unskilled resident,good
825.0,no checking,critical/other existing credit,furniture/equipment,3780.0,<100,<1,male div/sep,35.0,high qualif/self emp/mgmt,good
826.0,<0,critical/other existing credit,new car,1602.0,<100,>=7,male mar/wid,30.0,skilled,good
827.0,<0,critical/other existing credit,new car,3966.0,<100,>=7,female div/sep/mar,33.0,skilled,bad
828.0,no checking,no credits/all paid,business,4165.0,<100,1<=X<4,male single,36.0,skilled,bad
829.0,<0,existing paid,used car,8335.0,no known savings,>=7,male single,47.0,skilled,bad
830.0,0<=X<200,delayed previously,business,6681.0,no known savings,1<=X<4,male single,38.0,skilled,good
831.0,no checking,delayed previously,business,2375.0,500<=X<1000,1<=X<4,male single,44.0,skilled,good
832.0,<0,existing paid,new car,1216.0,<100,<1,female div/sep/mar,23.0,skilled,bad
833.0,<0,no credits/all paid,business,11816.0,<100,>=7,male single,29.0,skilled,bad
834.0,0<=X<200,existing paid,radio/tv,5084.0,no known savings,>=7,female div/sep/mar,42.0,skilled,good
835.0,>=200,existing paid,radio/tv,2327.0,<100,<1,female div/sep/mar,25.0,unskilled resident,bad
836.0,<0,no credits/all paid,new car,1082.0,<100,1<=X<4,male single,48.0,skilled,bad
837.0,no checking,existing paid,radio/tv,886.0,no known savings,1<=X<4,female div/sep/mar,21.0,skilled,good
838.0,no checking,existing paid,furniture/equipment,601.0,<100,<1,female div/sep/mar,23.0,unskilled resident,good
839.0,<0,critical/other existing credit,used car,2957.0,<100,>=7,male single,63.0,skilled,good
840.0,no checking,critical/other existing credit,radio/tv,2611.0,<100,>=7,male mar/wid,46.0,skilled,good
841.0,<0,existing paid,furniture/equipment,5179.0,<100,4<=X<7,male single,29.0,skilled,bad
842.0,no checking,delayed previously,used car,2993.0,<100,1<=X<4,male single,28.0,unskilled resident,good
843.0,no checking,existing paid,repairs,1943.0,<100,<1,female div/sep/mar,23.0,skilled,bad
844.0,no checking,all paid,business,1559.0,<100,4<=X<7,male single,50.0,skilled,good
845.0,no checking,existing paid,furniture/equipment,3422.0,<100,>=7,male single,47.0,skilled,good
846.0,0<=X<200,existing paid,furniture/equipment,3976.0,no known savings,4<=X<7,male single,35.0,skilled,good
847.0,no checking,existing paid,new car,6761.0,no known savings,1<=X<4,male single,68.0,skilled,bad
848.0,no checking,existing paid,new car,1249.0,<100,<1,male mar/wid,28.0,skilled,good
849.0,<0,existing paid,radio/tv,1364.0,<100,4<=X<7,male single,59.0,skilled,good
850.0,<0,existing paid,radio/tv,709.0,<100,>=7,male single,57.0,unskilled resident,bad
851.0,<0,critical/other existing credit,new car,2235.0,<100,1<=X<4,male mar/wid,33.0,skilled,bad
852.0,no checking,critical/other existing credit,used car,4042.0,no known savings,4<=X<7,male single,43.0,skilled,good
853.0,no checking,critical/other existing credit,radio/tv,1471.0,<100,1<=X<4,male single,35.0,skilled,good
854.0,<0,all paid,new car,1442.0,<100,4<=X<7,male single,32.0,unskilled resident,bad
855.0,no checking,delayed previously,new car,10875.0,<100,>=7,male single,45.0,skilled,good
856.0,no checking,existing paid,new car,1474.0,100<=X<500,<1,male mar/wid,33.0,skilled,good
857.0,no checking,existing paid,retraining,894.0,no known savings,4<=X<7,female div/sep/mar,40.0,skilled,good
858.0,no checking,critical/other existing credit,furniture/equipment,3343.0,<100,1<=X<4,male single,28.0,skilled,good
859.0,<0,existing paid,new car,3959.0,<100,1<=X<4,female div/sep/mar,29.0,skilled,bad
860.0,no checking,existing paid,new car,3577.0,100<=X<500,1<=X<4,male single,26.0,skilled,good
861.0,no checking,critical/other existing credit,used car,5804.0,>=1000,1<=X<4,male single,27.0,skilled,good
862.0,no checking,delayed previously,business,2169.0,<100,1<=X<4,male mar/wid,28.0,skilled,bad
863.0,<0,existing paid,radio/tv,2439.0,<100,<1,female div/sep/mar,35.0,skilled,bad
864.0,no checking,critical/other existing credit,furniture/equipment,4526.0,>=1000,<1,male single,32.0,unskilled resident,good
865.0,no checking,existing paid,furniture/equipment,2210.0,<100,1<=X<4,male single,25.0,unskilled resident,bad
866.0,no checking,existing paid,furniture/equipment,2221.0,500<=X<1000,1<=X<4,female div/sep/mar,20.0,skilled,good
867.0,<0,existing paid,radio/tv,2389.0,<100,<1,female div/sep/mar,27.0,skilled,good
868.0,no checking,critical/other existing credit,furniture/equipment,3331.0,<100,>=7,male single,42.0,skilled,good
869.0,no checking,existing paid,business,7409.0,no known savings,>=7,male single,37.0,skilled,good
870.0,<0,existing paid,furniture/equipment,652.0,<100,>=7,female div/sep/mar,24.0,skilled,good
871.0,no checking,delayed previously,furniture/equipment,7678.0,500<=X<1000,4<=X<7,female div/sep/mar,40.0,skilled,good
872.0,>=200,critical/other existing credit,new car,1343.0,<100,>=7,male single,46.0,skilled,good
873.0,<0,critical/other existing credit,business,1382.0,100<=X<500,4<=X<7,male single,26.0,skilled,good
874.0,no checking,existing paid,domestic appliance,874.0,no known savings,<1,female div/sep/mar,24.0,skilled,good
875.0,<0,existing paid,furniture/equipment,3590.0,<100,1<=X<4,male single,29.0,unskilled resident,good
876.0,0<=X<200,critical/other existing credit,new car,1322.0,>=1000,1<=X<4,female div/sep/mar,40.0,skilled,good
877.0,<0,all paid,radio/tv,1940.0,<100,<1,male single,36.0,high qualif/self emp/mgmt,good
878.0,no checking,existing paid,radio/tv,3595.0,<100,>=7,male single,28.0,skilled,good
879.0,<0,existing paid,new car,1422.0,<100,<1,male single,27.0,high qualif/self emp/mgmt,bad
880.0,no checking,critical/other existing credit,radio/tv,6742.0,no known savings,4<=X<7,male single,36.0,skilled,good
881.0,no checking,existing paid,used car,7814.0,<100,4<=X<7,male single,38.0,high qualif/self emp/mgmt,good
882.0,no checking,existing paid,used car,9277.0,no known savings,1<=X<4,male div/sep,48.0,skilled,good
883.0,0<=X<200,critical/other existing credit,new car,2181.0,no known savings,>=7,male single,36.0,skilled,good
884.0,no checking,critical/other existing credit,radio/tv,1098.0,<100,unemployed,female div/sep/mar,65.0,unemp/unskilled non res,good
885.0,0<=X<200,existing paid,furniture/equipment,4057.0,<100,4<=X<7,male div/sep,43.0,skilled,bad
886.0,<0,existing paid,education,795.0,<100,<1,female div/sep/mar,53.0,skilled,bad
887.0,0<=X<200,critical/other existing credit,business,2825.0,no known savings,4<=X<7,male single,34.0,skilled,good
888.0,0<=X<200,existing paid,business,15672.0,<100,1<=X<4,male single,23.0,skilled,bad
889.0,no checking,critical/other existing credit,new car,6614.0,<100,>=7,male single,34.0,high qualif/self emp/mgmt,good
890.0,no checking,all paid,used car,7824.0,no known savings,<1,male single,40.0,skilled,good
891.0,<0,critical/other existing credit,business,2442.0,<100,>=7,male single,43.0,high qualif/self emp/mgmt,good
892.0,no checking,critical/other existing credit,radio/tv,1829.0,<100,>=7,male single,46.0,skilled,good
893.0,<0,critical/other existing credit,new car,2171.0,<100,1<=X<4,male single,38.0,unskilled resident,good
894.0,0<=X<200,critical/other existing credit,used car,5800.0,<100,1<=X<4,male single,34.0,skilled,good
895.0,no checking,critical/other existing credit,radio/tv,1169.0,no known savings,1<=X<4,male single,29.0,skilled,good
896.0,no checking,delayed previously,used car,8947.0,no known savings,4<=X<7,male single,31.0,high qualif/self emp/mgmt,good
897.0,<0,existing paid,radio/tv,2606.0,<100,<1,female div/sep/mar,28.0,high qualif/self emp/mgmt,good
898.0,no checking,critical/other existing credit,furniture/equipment,1592.0,>=1000,4<=X<7,female div/sep/mar,35.0,skilled,good
899.0,no checking,existing paid,furniture/equipment,2186.0,no known savings,4<=X<7,female div/sep/mar,33.0,unskilled resident,good
900.0,<0,existing paid,furniture/equipment,4153.0,<100,1<=X<4,male single,42.0,skilled,bad
901.0,<0,critical/other existing credit,new car,2625.0,<100,>=7,male single,43.0,skilled,bad
902.0,no checking,critical/other existing credit,new car,3485.0,no known savings,<1,male div/sep,44.0,skilled,good
903.0,no checking,critical/other existing credit,used car,10477.0,no known savings,>=7,male single,42.0,skilled,good
904.0,no checking,existing paid,radio/tv,1386.0,no known savings,1<=X<4,male mar/wid,40.0,skilled,good
905.0,no checking,existing paid,radio/tv,1278.0,<100,>=7,male single,36.0,high qualif/self emp/mgmt,good
906.0,<0,existing paid,radio/tv,1107.0,<100,1<=X<4,male single,20.0,high qualif/self emp/mgmt,good
907.0,<0,existing paid,new car,3763.0,no known savings,4<=X<7,male single,24.0,unskilled resident,good
908.0,0<=X<200,existing paid,education,3711.0,no known savings,1<=X<4,male mar/wid,27.0,skilled,good
909.0,no checking,delayed previously,used car,3594.0,<100,<1,female div/sep/mar,46.0,unskilled resident,good
910.0,0<=X<200,existing paid,new car,3195.0,no known savings,1<=X<4,female div/sep/mar,33.0,unskilled resident,good
911.0,no checking,delayed previously,radio/tv,4454.0,<100,1<=X<4,female div/sep/mar,34.0,skilled,good
912.0,0<=X<200,critical/other existing credit,furniture/equipment,4736.0,<100,<1,female div/sep/mar,25.0,unskilled resident,bad
913.0,0<=X<200,existing paid,radio/tv,2991.0,no known savings,>=7,female div/sep/mar,25.0,skilled,good
914.0,no checking,existing paid,business,2142.0,>=1000,>=7,male div/sep,28.0,skilled,good
915.0,<0,all paid,business,3161.0,<100,1<=X<4,male single,31.0,skilled,bad
916.0,0<=X<200,no credits/all paid,other,18424.0,<100,1<=X<4,female div/sep/mar,32.0,high qualif/self emp/mgmt,bad
917.0,no checking,existing paid,used car,2848.0,100<=X<500,1<=X<4,male single,32.0,skilled,good
918.0,<0,existing paid,new car,14896.0,<100,>=7,male single,68.0,high qualif/self emp/mgmt,bad
919.0,<0,existing paid,furniture/equipment,2359.0,100<=X<500,unemployed,male div/sep,33.0,skilled,bad
920.0,<0,existing paid,furniture/equipment,3345.0,<100,>=7,male single,39.0,high qualif/self emp/mgmt,bad
921.0,no checking,critical/other existing credit,furniture/equipment,1817.0,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
922.0,no checking,delayed previously,radio/tv,12749.0,500<=X<1000,4<=X<7,male single,37.0,high qualif/self emp/mgmt,good
923.0,<0,existing paid,radio/tv,1366.0,<100,<1,female div/sep/mar,22.0,skilled,bad
924.0,0<=X<200,existing paid,new car,2002.0,<100,4<=X<7,male single,30.0,skilled,good
925.0,<0,all paid,furniture/equipment,6872.0,<100,<1,male div/sep,55.0,skilled,bad
926.0,<0,all paid,new car,697.0,<100,<1,male single,46.0,skilled,bad
927.0,<0,critical/other existing credit,furniture/equipment,1049.0,<100,<1,female div/sep/mar,21.0,skilled,good
928.0,<0,existing paid,used car,10297.0,<100,4<=X<7,male single,39.0,skilled,bad
929.0,no checking,existing paid,radio/tv,1867.0,no known savings,>=7,male single,58.0,skilled,good
930.0,<0,delayed previously,new car,1344.0,<100,1<=X<4,male single,43.0,unskilled resident,good
931.0,<0,existing paid,furniture/equipment,1747.0,<100,<1,male single,24.0,unskilled resident,good
932.0,0<=X<200,existing paid,radio/tv,1670.0,<100,<1,female div/sep/mar,22.0,skilled,bad
933.0,no checking,critical/other existing credit,new car,1224.0,<100,1<=X<4,male single,30.0,skilled,good
934.0,no checking,critical/other existing credit,radio/tv,522.0,500<=X<1000,>=7,male single,42.0,skilled,good
935.0,<0,existing paid,radio/tv,1498.0,<100,1<=X<4,female div/sep/mar,23.0,skilled,good
936.0,0<=X<200,delayed previously,radio/tv,1919.0,100<=X<500,<1,male single,30.0,high qualif/self emp/mgmt,bad
937.0,>=200,existing paid,radio/tv,745.0,<100,1<=X<4,female div/sep/mar,28.0,unskilled resident,bad
938.0,0<=X<200,existing paid,radio/tv,2063.0,<100,<1,male mar/wid,30.0,high qualif/self emp/mgmt,good
939.0,0<=X<200,existing paid,education,6288.0,<100,1<=X<4,male single,42.0,skilled,bad
940.0,no checking,critical/other existing credit,used car,6842.0,no known savings,1<=X<4,male single,46.0,high qualif/self emp/mgmt,good
941.0,no checking,existing paid,new car,3527.0,no known savings,<1,male single,45.0,high qualif/self emp/mgmt,good
942.0,no checking,existing paid,new car,1546.0,<100,1<=X<4,male single,31.0,unskilled resident,good
943.0,no checking,existing paid,furniture/equipment,929.0,no known savings,4<=X<7,male single,31.0,skilled,good
944.0,no checking,critical/other existing credit,new car,1455.0,<100,4<=X<7,male single,42.0,unskilled resident,good
945.0,<0,existing paid,furniture/equipment,1845.0,<100,<1,female div/sep/mar,46.0,skilled,good
946.0,0<=X<200,no credits/all paid,new car,8358.0,500<=X<1000,<1,female div/sep/mar,30.0,skilled,good
947.0,<0,all paid,furniture/equipment,3349.0,500<=X<1000,<1,male single,30.0,skilled,bad
948.0,no checking,existing paid,new car,2859.0,no known savings,unemployed,male single,38.0,high qualif/self emp/mgmt,good
949.0,no checking,existing paid,furniture/equipment,1533.0,<100,<1,male mar/wid,43.0,unskilled resident,bad
950.0,no checking,existing paid,radio/tv,3621.0,100<=X<500,>=7,male single,31.0,skilled,bad
951.0,0<=X<200,critical/other existing credit,business,3590.0,<100,unemployed,male mar/wid,40.0,unemp/unskilled non res,good
952.0,<0,delayed previously,business,2145.0,<100,4<=X<7,male single,24.0,skilled,bad
953.0,0<=X<200,existing paid,used car,4113.0,500<=X<1000,<1,female div/sep/mar,28.0,skilled,bad
954.0,no checking,existing paid,furniture/equipment,10974.0,<100,unemployed,female div/sep/mar,26.0,high qualif/self emp/mgmt,bad
955.0,<0,existing paid,new car,1893.0,<100,1<=X<4,female div/sep/mar,29.0,skilled,good
956.0,<0,critical/other existing credit,radio/tv,1231.0,>=1000,>=7,female div/sep/mar,57.0,high qualif/self emp/mgmt,good
957.0,>=200,critical/other existing credit,radio/tv,3656.0,no known savings,>=7,male single,49.0,unskilled resident,good
958.0,0<=X<200,critical/other existing credit,radio/tv,1154.0,<100,>=7,male single,37.0,unskilled resident,good
959.0,<0,existing paid,new car,4006.0,<100,1<=X<4,male single,45.0,unskilled resident,bad
960.0,0<=X<200,existing paid,furniture/equipment,3069.0,100<=X<500,>=7,male single,30.0,skilled,good
961.0,no checking,critical/other existing credit,radio/tv,1740.0,<100,>=7,male mar/wid,30.0,skilled,good
962.0,0<=X<200,delayed previously,new car,2353.0,<100,1<=X<4,male div/sep,47.0,skilled,good
963.0,no checking,existing paid,new car,3556.0,no known savings,1<=X<4,male single,29.0,skilled,good
964.0,no checking,existing paid,radio/tv,2397.0,500<=X<1000,>=7,male single,35.0,skilled,bad
965.0,0<=X<200,existing paid,repairs,454.0,<100,<1,male mar/wid,22.0,unskilled resident,good
966.0,0<=X<200,existing paid,radio/tv,1715.0,no known savings,1<=X<4,female div/sep/mar,26.0,skilled,good
967.0,0<=X<200,critical/other existing credit,radio/tv,2520.0,500<=X<1000,1<=X<4,male single,23.0,unskilled resident,bad
968.0,no checking,existing paid,radio/tv,3568.0,<100,>=7,female div/sep/mar,54.0,high qualif/self emp/mgmt,good
969.0,no checking,existing paid,radio/tv,7166.0,no known savings,4<=X<7,male mar/wid,29.0,skilled,good
970.0,<0,critical/other existing credit,new car,3939.0,<100,1<=X<4,male single,40.0,unskilled resident,good
971.0,0<=X<200,existing paid,repairs,1514.0,100<=X<500,1<=X<4,male single,22.0,skilled,good
972.0,no checking,existing paid,new car,7393.0,<100,1<=X<4,male single,43.0,unskilled resident,good
973.0,<0,all paid,new car,1193.0,<100,unemployed,female div/sep/mar,29.0,unemp/unskilled non res,bad
974.0,<0,existing paid,business,7297.0,<100,>=7,male single,36.0,skilled,bad
975.0,no checking,critical/other existing credit,radio/tv,2831.0,<100,1<=X<4,female div/sep/mar,33.0,skilled,good
976.0,>=200,existing paid,radio/tv,1258.0,500<=X<1000,1<=X<4,female div/sep/mar,57.0,unskilled resident,good
977.0,0<=X<200,existing paid,radio/tv,753.0,<100,1<=X<4,female div/sep/mar,64.0,skilled,good
978.0,0<=X<200,delayed previously,business,2427.0,no known savings,>=7,male single,42.0,skilled,good
979.0,no checking,delayed previously,new car,2538.0,<100,>=7,male single,47.0,unskilled resident,bad
980.0,0<=X<200,all paid,new car,1264.0,100<=X<500,1<=X<4,male mar/wid,25.0,skilled,bad
981.0,0<=X<200,critical/other existing credit,furniture/equipment,8386.0,<100,4<=X<7,male single,49.0,skilled,bad
982.0,no checking,existing paid,business,4844.0,<100,unemployed,male single,33.0,high qualif/self emp/mgmt,bad
983.0,>=200,existing paid,new car,2923.0,100<=X<500,1<=X<4,female div/sep/mar,28.0,high qualif/self emp/mgmt,good
984.0,<0,existing paid,used car,8229.0,<100,1<=X<4,male single,26.0,skilled,bad
985.0,no checking,critical/other existing credit,furniture/equipment,2028.0,<100,4<=X<7,male single,30.0,unskilled resident,good
986.0,<0,critical/other existing credit,furniture/equipment,1433.0,<100,1<=X<4,female div/sep/mar,25.0,skilled,good
987.0,>=200,no credits/all paid,business,6289.0,<100,<1,male div/sep,33.0,skilled,good
988.0,no checking,existing paid,radio/tv,1409.0,100<=X<500,unemployed,female div/sep/mar,64.0,skilled,good
989.0,<0,existing paid,used car,6579.0,<100,unemployed,male single,29.0,high qualif/self emp/mgmt,good
990.0,0<=X<200,critical/other existing credit,radio/tv,1743.0,<100,>=7,male single,48.0,unskilled resident,good
991.0,no checking,critical/other existing credit,education,3565.0,no known savings,<1,male single,37.0,unskilled resident,good
992.0,no checking,all paid,radio/tv,1569.0,100<=X<500,>=7,male single,34.0,unskilled resident,good
993.0,<0,existing paid,radio/tv,1936.0,no known savings,4<=X<7,male mar/wid,23.0,unskilled resident,good
994.0,<0,existing paid,furniture/equipment,3959.0,<100,unemployed,male single,30.0,high qualif/self emp/mgmt,good
995.0,no checking,existing paid,new car,2390.0,no known savings,>=7,male single,50.0,skilled,good
996.0,no checking,existing paid,furniture/equipment,1736.0,<100,4<=X<7,female div/sep/mar,31.0,unskilled resident,good
997.0,<0,existing paid,used car,3857.0,<100,1<=X<4,male div/sep,40.0,high qualif/self emp/mgmt,good
998.0,no checking,existing paid,radio/tv,804.0,<100,>=7,male single,38.0,skilled,good
999.0,<0,existing paid,radio/tv,1845.0,<100,1<=X<4,male single,23.0,skilled,bad
1000.0,0<=X<200,critical/other existing credit,used car,4576.0,100<=X<500,unemployed,male single,27.0,skilled,good
